country,ccode,date,year,occasion,documentname,reportconsidered,womensrightsissue,vaw,econ,vawecon,womensrights01,documenttype,originalrecnumber,newrecnumberA,action,precision,recommendation,post_2009,jurisrepeatrec,jurisinstancerec,number_actions,nomention,compliance,inaction,consideration,delegation,execution,missingmaterial,recnumberfinal_CEDAW,field31,field32,field33,field34,field35,field36,field37,field38,field39,field40,field41,field42,field43,field44,field45,field46,field47,field48,field49,field50,field51,id,institution
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,discrimination against women,1,,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,3,1,5,1,"consider reversing the burden of proof in cases of alleged discrimination on the grounds of sex and gender, especially in cases of sexual harassment, in its anti-discrimination legislation, and the Labour Code",1,.,.,,999,1,999,999,999,999,,1,,,,,,,,,,,,,,,,,,,,,,CEDAW0000,CEDAW
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,gender equality and violance against women,1,,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,10,2,8,3,"formulate new national strategy and action plan on gender equality and domestic violence; to ensure its effective implementation, including through the monitoring and regular evaluation of strategies and measures used in its implementation; and to establish effective coordination between central and local government on policies designed to achieve the objectives of the action plan.",1,.,.,,0,1,0,0,0,0,,2,,,,,,,,,,,,,,,,,,,,,,CEDAW0001,CEDAW
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,gender equality in public sphere,,1,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,13,3,6,3,"stengthen use of temporary special measures including the allocation of additional reasources in order to accelerate the achivement of de facto or substantive gender equality in areas covered by the Convention, such as participation in political and public decision-making, including diplomatic service, in the judiciary, the executive branch, and and in education and employment sectors",1,.,.,,0,1,0,0,0,0,,3,,,,,,,,,,,,,,,,,,,,,,CEDAW0002,CEDAW
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,violence against women,1,,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,19,4,5,3,take appropriate legislative measures and condemn killings of women committed in the name of honour in the same way as with regard to homicides or murders,1,.,.,,1,0,0,0,0,0,,4,,,,,,,,,,,,,,,,,,,,,,CEDAW0003,CEDAW
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,violence against women,1,,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,19,5,3,3,condemn and vigorously prosecute killings of women committed in the name of honour in the same way as with regard to homicides or murders,1,.,.,,1,0,0,0,0,0,,5,,,,,,,,,,,,,,,,,,,,,,CEDAW0004,CEDAW
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,violence against women,1,,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,20,6,8,1,put emphasis on comperehensive measures to address violence against women in family and in society,1,.,.,,999,1,999,999,999,999,,6,,,,,,,,,,,,,,,,,,,,,,CEDAW0005,CEDAW
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,violence against women,1,,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,21,7,5,3,amend the Penal Code so as to establish marital rape as a specific criminal offence,1,.,.,,0,1,0,0,0,0,,7,,,,,,,,,,,,,,,,,,,,,,CEDAW0006,CEDAW
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,violence against women,1,,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,22,8,3,3,Appropriately sanction and criminalize acts of domestic violence,1,.,.,,0,1,0,0,0,0,,8,,,,,,,,,,,,,,,,,,,,,,CEDAW0007,CEDAW
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,violence against women,1,,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,23,9,3,2,ensure that all cases of violence against women are swiftly prosecuted and punished,1,.,.,,0,0,0,0,1,1,,9,,,,,,,,,,,,,,,,,,,,,,CEDAW0008,CEDAW
Albania,339,9/17/14,2010,Forty-sixth session,CEDAW/C/ALB/CO/3,third periodic report,violence against women,1,,1,1,Concluding Comments of the Committee on the Elimination of Discrimination Against Women,24,10,3,3,Strengthen its efforts to ensure that female victims of violence have immediate protection (including expelling the perpetrator from the home and access to free legal aid and psychological counseling),1,.,.,3,0,333,1,0,333,0,,10,,,,,,,,,,,,,,,,,,,,,,CEDAW0009,CEDAW
