country,ccode,bloc,organization,womensrightsissue,womensrights01,recstate,recstatebloc,recstateorg,response,action_upr,session,year,equalityinsociety,vaw,econ,vawecon,health,femaleminorities,originalrecnumber,newrecnumber,recommendation,precision,action,repeatrec,instancerec,nomention,compliance,inaction,consideration,delegation,execution,missingmaterial,recnumberfinal_UPR,id,institution
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Canada,WEOG,"OAS, OIF, Commonealth",Accepted,4,6,2009,1,1,,1,,,49,48,Adopt and implement robust measures to better address domestic violence,1,8,,,999,1,999,999,999,999,,1,UPR0000,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Netherlands,WEOG,EU,Accepted,5,6,2009,1,,1,1,,,50,49,Amend the economic aid law and the property law so that they in no circumstances discriminate against women,3,5,,,0,333,1,0,0,0,,2,UPR0001,UPR
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child",1,"Korea, Republic of",Asia,,Accepted,4,6,2009,1,1,,1,,,51,50,"Bolster its efforts to address the issue of trafficking in persons, especially women and girls, in a more comprehensive and systematic manner that includes all aspects of prevention, protection and prosecution",1,8,,,999,1,999,999,999,999,,3,UPR0002,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Brazil,GRULAC,"OAS, OEI",Accepted,4,6,2009,1,1,,1,,,52,51,"Continue and strengthen policies to combat all forms of discrimination, with special attention to discrimination against women",1,6,,,999,1,999,999,999,999,,4,UPR0003,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Brazil,GRULAC,"OAS, OEI",Accepted,4,6,2009,1,1,,1,,,52a,52,establish a legal framework to combat domestic violence,2,5,,,0,1,0,0,0,0,,5,UPR0004,UPR
Albania,339,EEG,"EU, OIF","Women's rights, human rights education and training",1,Spain,WEOG,"EU, OEI",Accepted,4,6,2009,1,1,,1,,,54,53,"Create more social awareness-raising campaigns against gender-based violence, with particular emphasis on its condemnation by the highest levels of the Administration - and more human rights training programmes for employees in the security and justice sectors",3,6,,,0,333,1,0,333,0,,6,UPR0005,UPR
Albania,339,EEG,"EU, OIF","Women's rights, treaty bodies",1,Israel,WEOG,,Accepted,4,6,2009,1,1,,1,,,55,54,"Develop further the National Strategy for Gender Equality and Domestic Violence adopted in 2007 in accordance with the recommendations made by the Committee on Economic, Social and Cultural Rights and the Committee against Torture",2,1,,,0,1,0,0,0,0,,7,UPR0006,UPR
Albania,339,EEG,"EU, OIF","Women's rights, human rights education and training",1,Norway,WEOG,,Accepted,4,6,2009,1,1,,1,,,56,55,"Follow up on the legal framework for gender equality and domestic violence, including its application to law enforcement and judicial authorities handling cases of domestic violence",2,3,,,0,333,1,0,0,0,,8,UPR0007,UPR
Albania,339,EEG,"EU, OIF","Women's rights, human rights education and training",1,Norway,WEOG,,Accepted,4,6,2009,1,1,,1,,,56a,56,"Follow up on the legal framework for gender equality and domestic violence, by taking more effective measures for its enforcement and increasing public awareness about the law in smaller towns and rural areas",3,4,,,1,0,0,0,0,0,,9,UPR0008,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Chile,GRULAC,"OAS, OEI",Accepted,5,6,2009,1,1,,1,,,57,57,"Fully implement the National Strategy on Gender Equality and Domestic Violence, intended to tackle violence against women",3,7,,,0,1,0,0,0,0,,10,UPR0009,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Algeria,Africa,"AU, OIC, AL",Accepted,4,6,2009,1,,1,1,,,59,58,"In light of the priorities established in the fight against domestic violence, take those effective measures that it deems appropriate for the realization of the emancipation of women, in particular through education and integration in the labour market, and extend them to rural areas",3,4,,,0,0,1,0,0,333,,11,UPR0010,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Malaysia,Asia,"ASEAN, OIC, Commonwealth",Accepted,4,6,2009,1,1,,1,,,60,59,"Intensify efforts to combat sexual violence and ill-treatment against women and children, including by providing specific training to law enforcement officers and judges",3,6,,,0,333,1,0,333,0,,12,UPR0011,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Slovenia,EEG,EU,Accepted,2,6,2009,1,1,,1,,,62,60,Remain vigilant on the issues of blood feud and domestic violence - develop and support programmes to provide help to victims of domestic violence,3,6,,,0,1,0,0,1,0,,13,UPR0012,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Ukraine,EEG,CIS,Accepted,4,6,2009,1,1,,1,,,63,61,Step up necessary measures to promote equality between men and women and strengthen the ongoing efforts for the prevention of domestic violence,1,8,,,999,1,999,999,999,999,,14,UPR0013,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Sweden,WEOG,EU,Accepted,4,6,2009,1,1,,1,,,64,62,"Strengthen efforts against all forms of violence against women, including domestic violence",1,8,,,999,1,999,999,999,999,,15,UPR0014,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Sweden,WEOG,EU,Accepted,4,6,2009,1,,1,1,,,65,63,"Take further measures to ensure equality between men and women, including through facilitation of women's participation in public affairs and the labour market",2,8,,,0,1,0,0,1,0,,16,UPR0015,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Austria,WEOG,EU,Accepted,5,6,2009,1,1,,1,,,67,64,Undertake awareness-raising campaigns to ensure the effective implementation of and respect for the laws of the State,3,4,,,0,1,0,0,1,0,,17,UPR0016,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Austria,WEOG,EU,Accepted,5,6,2009,1,1,,1,,,67a,65,"ensure the effective implementation of and respect for the laws of the State, in particular by ensuring the effective investigation and prosecution of honour killings and cases of violence, including domestic violence against women and children",3,3,,,0,333,1,0,0,0,,18,UPR0017,UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, right to education, migrants, development",1,Vietnam,Asia,"ASEAN, OIF",Accepted,4,19,2014,1,,1,1,1,1,1,1,"Give priority to and allocate resources for implementing current national strategies, programmes and measures, with more focus on addressing the challenges and disparities in employment, education and health care, especially for vulnerable groups of women, children, migrants and the elderly",1,7,,,999,1,999,999,999,999,,19,UPR0018,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Thailand,Asia,ASEAN,Accepted,4,19,2014,1,,1,1,1,,3,2,"Ensure equality of women and men in accessing socioeconomic services, including property tenure, and health care and services",1,6,,,0,0,1,0,0,0,,20,UPR0019,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Qatar,Asia,"OIC, AL",Accepted,2,19,2014,1,,1,1,,1,4,3,Continue efforts to strengthen the position of women's role in society and to create employment opportunities for rural women in the context of rural development strategy,2,6,,,0,0,0,0,0,1,,21,UPR0020,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Belgium,WEOG,"EU, OIF",Accepted,4,19,2014,1,,1,1,1,,5,4,"Take necessary measures to speed up gender equality in practice, especially in access to professions, including at the highest level, to property, capital, medical services and housing",2,6,,,0,333,1,333,0,0,,22,UPR0021,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Austria,WEOG,EU,Accepted,5,19,2014,1,,1,1,,,6,5,Undertake a gender revision of and amend all laws regulating property rights with a view to ensure equal land and property entitlements for women and men,3,5,,,0,0,1,0,0,0,,23,UPR0022,UPR
Albania,339,EEG,"EU, OIF",Women's rights,1,Turkey,WEOG,OIC,Accepted,4,19,2014,1,,1,1,,,7,6,Take effective measures to accelerate the consolidation of property rights as an aspect of ensuring gender equality,2,8,,,0,0,1,0,0,0,,24,UPR0023,UPR
