countryname,ccode,id,proportioncompliance,proportioninaction,proportionexecdelcons
United Kingdom,200,14,0.38372093,0.25581396,0.52325583
Ireland,205,29,0.65384614,0.15384616,0.53846157
Netherlands,210,26,0.35820895,0.3283582,0.68656719
Belgium,211,20,0.38461539,0.38461539,0.76923078
Luxembourg,212,44,0.6111111,0.25,0.3611111
France,220,9,0.33333334,0.33333334,0.5714286
Monaco,221,2,0.66666669,0.33333334,0.5
Liechtenstein,223,40,0.40983605,0.29508197,0.57377046
Switzerland,225,32,0.50980395,0.25490198,0.56862748
Spain,230,46,0.40000001,0.36250001,0.28749999
Andorra,232,10,0.28260869,0.32608697,0.67391306
Portugal,235,34,0.43661973,0.30985916,0.5633803
Germany,255,39,0.38461539,0.30769232,0.26153848
Poland,290,33,0.37288135,0.44067797,0.25423729
Austria,305,17,0.5479452,0.30136988,0.49315068
Hungary,310,28,0.34482759,0.43103448,0.41379312
Czech Republic,316,38,0.36666667,0.41666666,0.26666668
Slovak Republic,317,5,0.3773585,0.35849056,0.39622641
Italy,325,31,0.33823529,0.20588236,0.55882353
San Marino,331,43,0,0,1
Malta,338,13,0.375,0.29166666,0.083333336
Albania,339,7,0.43000001,0.23999999,0.56999999
Montenegro,341,16,0.47169811,0.43396226,0.43396226
Macedonia,343,11,0.2173913,0.43478259,0.28260869
Croatia,344,24,0.67272729,0.21818182,0.34545454
Serbia,345,47,0.29268292,0.30487806,0.71951222
Bosnia and Herzegovina,346,25,0.34482759,0.34482759,0.36206895
Slovenia,349,6,0.47761193,0.31343284,0.52238804
Greece,350,18,0.23333333,0.40000001,0.46666667
Cyprus,352,37,0.61538464,0.2,0.47692308
Bulgaria,355,22,0.24731183,0.39784947,0.34408602
Moldova,359,3,0.24561404,0.31578946,0.22807017
Romania,360,35,0.60000002,0.2,0.40000001
Russia,365,36,0.2857143,0.41428572,0.2
Estonia,366,1,0.27500001,0.42500001,0.375
Latvia,367,45,0.30000001,0.69999999,0.1
Lithuania,368,42,0.32876712,0.39726028,0.41095892
Ukraine,369,23,0.36363637,0.45454547,0.36363637
Armenia,371,12,0.5479452,0.15068494,0.72602737
Georgia,372,15,0.41666666,0.20833333,0.625
Azerbaijan,373,19,0.34722221,0.44444445,0.41666666
Finland,375,4,0.16455697,0.21518987,0.21518987
Sweden,380,8,0.44067797,0.30508474,0.45762712
Norway,385,27,0.42592594,0.3611111,0.42592594
Denmark,390,41,0.41509435,0.3773585,0.47169811
Iceland,395,30,0.17073171,0.29268292,0.43902439
Turkey,640,21,0.44,0.21333334,0.31999999
