country,ccode,bloc,organization,womensrightsissue,womensrights01,recstate,recstatebloc,recstateorg,response,action_upr,session,year,equalityinsociety,vaw,econ,vawecon,health,femaleminorities,originalrecnumber,newrecnumber,recommendation,precision,action,repeatrec,instancerec,nomention,compliance,inaction,consideration,delegation,execution,missingmaterial,recnumberfinal_UPR
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Canada,WEOG,"OAS, OIF, Commonealth",Accepted,4,6,2009,1,1,,1,,,49,48,Adopt and implement robust measures to better address domestic violence,1,8,,,999,1,999,999,999,999,,1
Albania,339,EEG,"EU, OIF",Women's rights,1,Netherlands,WEOG,EU,Accepted,5,6,2009,1,,1,1,,,50,49,Amend the economic aid law and the property law so that they in no circumstances discriminate against women,3,5,,,0,333,1,0,0,0,,2
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child",1,"Korea, Republic of",Asia,,Accepted,4,6,2009,1,1,,1,,,51,50,"Bolster its efforts to address the issue of trafficking in persons, especially women and girls, in a more comprehensive and systematic manner that includes all aspects of prevention, protection and prosecution",1,8,,,999,1,999,999,999,999,,3
Albania,339,EEG,"EU, OIF",Women's rights,1,Brazil,GRULAC,"OAS, OEI",Accepted,4,6,2009,1,1,,1,,,52,51,"Continue and strengthen policies to combat all forms of discrimination, with special attention to discrimination against women",1,6,,,999,1,999,999,999,999,,4
Albania,339,EEG,"EU, OIF",Women's rights,1,Brazil,GRULAC,"OAS, OEI",Accepted,4,6,2009,1,1,,1,,,52a,52,establish a legal framework to combat domestic violence,2,5,,,0,1,0,0,0,0,,5
Albania,339,EEG,"EU, OIF","Women's rights, human rights education and training",1,Spain,WEOG,"EU, OEI",Accepted,4,6,2009,1,1,,1,,,54,53,"Create more social awareness-raising campaigns against gender-based violence, with particular emphasis on its condemnation by the highest levels of the Administration - and more human rights training programmes for employees in the security and justice sectors",3,6,,,0,333,1,0,333,0,,6
Albania,339,EEG,"EU, OIF","Women's rights, treaty bodies",1,Israel,WEOG,,Accepted,4,6,2009,1,1,,1,,,55,54,"Develop further the National Strategy for Gender Equality and Domestic Violence adopted in 2007 in accordance with the recommendations made by the Committee on Economic, Social and Cultural Rights and the Committee against Torture",2,1,,,0,1,0,0,0,0,,7
Albania,339,EEG,"EU, OIF","Women's rights, human rights education and training",1,Norway,WEOG,,Accepted,4,6,2009,1,1,,1,,,56,55,"Follow up on the legal framework for gender equality and domestic violence, including its application to law enforcement and judicial authorities handling cases of domestic violence",2,3,,,0,333,1,0,0,0,,8
Albania,339,EEG,"EU, OIF","Women's rights, human rights education and training",1,Norway,WEOG,,Accepted,4,6,2009,1,1,,1,,,56a,56,"Follow up on the legal framework for gender equality and domestic violence, by taking more effective measures for its enforcement and increasing public awareness about the law in smaller towns and rural areas",3,4,,,1,0,0,0,0,0,,9
Albania,339,EEG,"EU, OIF",Women's rights,1,Chile,GRULAC,"OAS, OEI",Accepted,5,6,2009,1,1,,1,,,57,57,"Fully implement the National Strategy on Gender Equality and Domestic Violence, intended to tackle violence against women",3,7,,,0,1,0,0,0,0,,10
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Algeria,Africa,"AU, OIC, AL",Accepted,4,6,2009,1,,1,1,,,59,58,"In light of the priorities established in the fight against domestic violence, take those effective measures that it deems appropriate for the realization of the emancipation of women, in particular through education and integration in the labour market, and extend them to rural areas",3,4,,,0,0,1,0,0,333,,11
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Malaysia,Asia,"ASEAN, OIC, Commonwealth",Accepted,4,6,2009,1,1,,1,,,60,59,"Intensify efforts to combat sexual violence and ill-treatment against women and children, including by providing specific training to law enforcement officers and judges",3,6,,,0,333,1,0,333,0,,12
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Slovenia,EEG,EU,Accepted,2,6,2009,1,1,,1,,,62,60,Remain vigilant on the issues of blood feud and domestic violence - develop and support programmes to provide help to victims of domestic violence,3,6,,,0,1,0,0,1,0,,13
Albania,339,EEG,"EU, OIF",Women's rights,1,Ukraine,EEG,CIS,Accepted,4,6,2009,1,1,,1,,,63,61,Step up necessary measures to promote equality between men and women and strengthen the ongoing efforts for the prevention of domestic violence,1,8,,,999,1,999,999,999,999,,14
Albania,339,EEG,"EU, OIF",Women's rights,1,Sweden,WEOG,EU,Accepted,4,6,2009,1,1,,1,,,64,62,"Strengthen efforts against all forms of violence against women, including domestic violence",1,8,,,999,1,999,999,999,999,,15
Albania,339,EEG,"EU, OIF",Women's rights,1,Sweden,WEOG,EU,Accepted,4,6,2009,1,,1,1,,,65,63,"Take further measures to ensure equality between men and women, including through facilitation of women's participation in public affairs and the labour market",2,8,,,0,1,0,0,1,0,,16
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Austria,WEOG,EU,Accepted,5,6,2009,1,1,,1,,,67,64,Undertake awareness-raising campaigns to ensure the effective implementation of and respect for the laws of the State,3,4,,,0,1,0,0,1,0,,17
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Austria,WEOG,EU,Accepted,5,6,2009,1,1,,1,,,67a,65,"ensure the effective implementation of and respect for the laws of the State, in particular by ensuring the effective investigation and prosecution of honour killings and cases of violence, including domestic violence against women and children",3,3,,,0,333,1,0,0,0,,18
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, right to education, migrants, development",1,Vietnam,Asia,"ASEAN, OIF",Accepted,4,19,2014,1,,1,1,1,1,1,1,"Give priority to and allocate resources for implementing current national strategies, programmes and measures, with more focus on addressing the challenges and disparities in employment, education and health care, especially for vulnerable groups of women, children, migrants and the elderly",1,7,,,999,1,999,999,999,999,,19
Albania,339,EEG,"EU, OIF",Women's rights  ,1,Thailand,Asia,ASEAN ,Accepted,4,19,2014,1,,1,1,1,,3,2,"Ensure equality of women and men in accessing socioeconomic services, including property tenure, and health care and services",1,6,,,0,0,1,0,0,0,,20
Albania,339,EEG,"EU, OIF",Women's rights  ,1,Qatar,Asia,"OIC, AL",Accepted,2,19,2014,1,,1,1,,1,4,3,Continue efforts to strengthen the position of women's role in society and to create employment opportunities for rural women in the context of rural development strategy,2,6,,,0,0,0,0,0,1,,21
Albania,339,EEG,"EU, OIF",Women's rights  ,1,Belgium,WEOG,"EU, OIF",Accepted,4,19,2014,1,,1,1,1,,5,4,"Take necessary measures to speed up gender equality in practice, especially in access to professions, including at the highest level, to property, capital, medical services and housing",2,6,,,0,333,1,333,0,0,,22
Albania,339,EEG,"EU, OIF",Women's rights  ,1,Austria,WEOG,EU ,Accepted,5,19,2014,1,,1,1,,,6,5,Undertake a gender revision of and amend all laws regulating property rights with a view to ensure equal land and property entitlements for women and men,3,5,,,0,0,1,0,0,0,,23
Albania,339,EEG,"EU, OIF",Women's rights  ,1,Turkey,WEOG,OIC ,Accepted,4,19,2014,1,,1,1,,,7,6,Take effective measures to accelerate the consolidation of property rights as an aspect of ensuring gender equality,2,8,,,0,0,1,0,0,0,,24
Albania,339,EEG,"EU, OIF",Women's rights  ,1,Canada,WEOG,"OAS, OIF, Commonwealth",Accepted,5,19,2014,1,,1,1,,,8,7,"Take steps to ensure equality between men and women, in particular, take measures to guarantee that women enjoy equal pay for work of equal value as provided by the Labour Code, such as enhancing labour inspection measures and addressing the issue of ineffective implementation of the law",3,2,,,0,0,1,0,0,0,,25
Albania,339,EEG,"EU, OIF",Women's rights  ,1,Canada,WEOG,"OAS, OIF, Commonwealth",Accepted,5,19,2014,1,,1,1,,,8a,8,"Take steps to ensure equality between men and women, in particular, take measures to guarantee that women enjoy equal pay for work of equal value as provided by the Labour Code, such as enhancing labour inspection measures and  increasing awareness",2,4,,,0,0,1,0,0,0,,26
Albania,339,EEG,"EU, OIF",Women's rights  ,1,Canada,WEOG,"OAS, OIF, Commonwealth",Accepted,5,19,2014,1,,1,1,,,8b,9,"Take steps to ensure equality between men and women, in particular, take measures to guarantee that women enjoy equal pay for work of equal value as provided by the Labour Code, such as enhancing labour inspection measures and improving access to justice for affected women",2,3,,,0,0,1,0,0,0,,27
Albania,339,EEG,"EU, OIF",Women's rights  ,1,Italy,WEOG,EU,Accepted,5,19,2014,1,,1,1,,,9,10,"Adopt and implement further measures in order to address the gender wage gap, improve women's access to entrepreneurship and ensure a balanced representation of women in the labour market",2,6,,,0,0,0,0,0,1,,28
Albania,339,EEG,"EU, OIF",Women's rights  ,1,"Korea, Republic of",Aisa,,Accepted,4,19,2014,1,,1,1,,,10,11,"Put forward its best efforts to ensure women's empowerment, representation and advancement, especially in the public sector",1,8,,,999,1,999,999,999,999,,29
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child  ",1,Algeria,Africa,"AU, OIC, AL",Accepted,2,19,2014,1,1,,1,,,11,12,Continue efforts towards combating violence against women and children,1,8,,,999,1,999,999,999,999,,30
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Slovakia,EEG,EU,Accepted,2,19,2014,1,1,,1,,,12,13,Continue endeavours aimed at combating domestic violence and ensure that all reports of domestic violence are thoroughly investigated and perpetrators are brought to justice in accordance with the law,3,3,,,0,0,0,0,1,1,,31
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Turkey,WEOG,OIC,Accepted,2,19,2014,1,1,,1,,,13,14,"Continue adopting and implementing robust measures to better address domestic violence, and develop programmes to assist the victims of domestic violence and programmes to assist the victims of domestic violence",3,6,,,0,1,0,0,1,0,,32
Albania,339,EEG,"EU, OIF",Women's rights,1,Italy,WEOG,EU,Accepted,5,19,2014,1,1,,1,,,14,15,"Fully implement the normative framework and related policies aimed at preventing violence against women, in particular by addressing the factors which may still prevent women from filing complaints regarding episodes of violence",3,3,,,0,1,0,0,0,0,,33
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Australia,WEOG,"PIF, Commonwealth",Accepted,4,19,2014,1,1,,1,,,15,16,Enhance support services for victims of domestic and gender-based violence,3,6,,,0,1,0,0,1,0,,34
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Australia,WEOG,"PIF, Commonwealth",Accepted,4,19,2014,1,1,,1,,,15a,17,"take measures to raise awareness among law enforcement officials, lawyers and judges of the serious nature of domestic and gender-based violence",2,6,,,0,333,1,0,333,0,,35
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Denmark,WEOG,EU,Accepted,4,19,2014,1,1,,1,,,16,18,"Provide the necessary support, including adequate shelter, to all victims of domestic violence",3,6,,,0,0,0,0,0,1,,36
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Ireland,WEOG,EU,Accepted,5,19,2014,1,1,,1,,,17,19,"Establish appropriate shelters and social services for victims of domestic violence, as well as a system of victim compensation and reintegration",3,6,,,0,0,1,0,333,333,,37
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Lithuania,EEG,EU,Accepted,5,19,2014,1,1,,1,,,18,20,"Provide the necessary assistance to the victims of domestic violence, including through the adoption of rehabilitation and reintegration programmes",3,6,,,0,0,1,0,0,0,,38
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Hungary,EEG,EU,Accepted,3,19,2014,1,1,,1,,,19,21,"Undertake a deep analysis of protection orders for victims of domestic violence that were broken, in order to identify the root causes and take appropriate measures to secure the safety of the victims",3,2,,,0,0,1,0,0,0,,39
Albania,339,EEG,"EU, OIF",Women's rights,1,United States,WEOG,OAS,Accepted,5,19,2014,1,1,,1,,,20,22,Fully implement the National Strategy on Gender Equality and Against Gender-Based and Domestic Violence,3,7,,,0,0,0,0,0,1,,40
Albania,339,EEG,"EU, OIF",Women's rights,1,United States,WEOG,OAS,Accepted,5,19,2014,1,1,,1,,,20a,23,"build up the capacity of the police force to deal with such cases, including through additional training programs to help police identify and assist survivors of domestic violence",3,6,,,1,0,0,0,0,0,,41
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Lithuania,EEG,EU,Accepted,4,19,2014,1,1,,1,,,22,24,Ensure that all reports of domestic violence are thoroughly investigated and that the perpetrators are brought to justice,3,3,,1,0,0,0,0,0,1,,42
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Slovenia,EEG,EU,Accepted,4,19,2014,1,1,,1,,,23,25,Ensure that cases of domestic violence are properly investigated and prosecuted,3,3,24,2,0,0,0,0,1,1,,43
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,United Kingdom,WEOG,"EU, Commonwealth",Accepted,4,19,2014,1,1,,1,,,24,26,"Ensure that reports of domestic violence are investigated swiftly and fully, and that prosecutions are carried out with the full force of the law",3,3,"24, 25",3,0,0,0,0,1,1,,44
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Belgium,WEOG,"EU, OIF",Accepted,4,19,2014,1,1,,1,,,25,27,"Ensure that all complaints of domestic violence are seriously investigated, with the protection of victims and the prosecution of the perpetrators",3,3,,,0,0,0,0,1,1,,45
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Belgium,WEOG,"EU, OIF",Accepted,4,19,2014,1,1,,1,,,25a,28,"Ensure the protection of victims and the prosecution of the perpetrators, in accordance with existing legislation, in particular through raising the awareness of police forces on such issues",3,6,,,0,1,0,0,0,0,,46
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child",1,Philippines,Asia,ASEAN,Accepted,4,19,2014,1,1,,1,,,26a,29,"Ensure effective implementation of the measures or strategies established to counter and prevent trafficking in persons, including by intensifying efforts to prosecute perpetrators and providing adequate protection to trafficking victims, especially women and children",3,3,,,0,1,0,0,1,0,,47
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child",1,Thailand,Asia,ASEAN,Accepted,3,19,2014,1,1,,1,1,,27,30,"Consider improving assistance, including medical and social services, and shelter for trafficking victims, particularly women and children",1,6,,,999,1,999,999,999,999,,48
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child, international instruments, disabilities",1,Vietnam,Asia,"ASEAN, OIF",Accepted,4,19,2014,1,1,,1,,1,30,31,"Further improve national institutions and human rights infrastructure, including the harmonization of domestic legislation and the legal system with the international and European Union instruments on persons with disabilities, the rights of the child, the prevention of domestic violence and trafficking in persons",3,5,,,0,1,0,0,0,0,,49
Albania,339,EEG,"EU, OIF",Women's rights,1,Venezuela,GRULAC,"OAS, OEI, ACS",Accepted,4,19,2014,1,1,,1,,,32,32,Further increase concrete measures in the framework of the 2011- 2015 Strategy and Action Plan for the promotion and protection of gender equality and women's rights,1,8,,,1,0,0,0,0,0,,50
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Austria,WEOG,EU,Accepted,5,19,2014,1,1,,1,,,33,33,Fully implement without further delay the provisions of the national action plan on gender equality and domestic violence,3,7,,,1,0,0,0,0,0,,51
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,China,Asia,,Accepted,2,19,2014,1,1,,1,,,34,34,"Continue to implement effectively the National Strategy for Gender Equality, Reduction of Gender-Based Violence and Domestic Violence",3,7,,,1,0,0,0,0,0,,52
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Macedonia,EEG,OIF,Accepted,4,19,2014,1,1,,1,,,35,35,"Increase efforts to tackle domestic violence, gender stereotypes and discrimination on that ground",2,4,,,0,1,0,0,1,0,,53
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Russia,EEG,CIS,Accpeted,4,19,2014,1,1,,1,,,36,36,Create a national strategy related to combating domestic violence against women and children,2,8,,,0,1,0,0,0,0,,54
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child",1,Nicaragua,GRULAC,"OAS, OEI, ACS",Accepted,4,19,2014,1,1,,1,,,37,37,Promote a comprehensive policy of sensitization to the fight against domestic violence,2,4,,,0,0,1,0,0,0,,55
Albania,339,EEG,"EU, OIF",Women's rights,1,Poland,EEG,EU,Accepted,4,19,2014,1,1,,1,,,38,38,Provide necessary legal protection and practical assistance for victims of violence against women,2,3,,,0,1,0,0,1,0,,56
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Czech Republic,EEG,EU,Accepted,4,19,2014,1,1,,1,,,39,39,Ensure adequate training of police in order to increase their capability to deal with domestic violence cases,3,6,,,0,0,0,0,0,1,,57
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, human rights education and training",1,Czech Republic,EEG,EU,Accepted,4,19,2014,1,1,,1,,,39a,40,take further steps to raise public awareness of domestic violence as a criminal offence,2,4,,,0,1,0,0,0,0,,58
Albania,339,EEG,"EU, OIF","Women's rights, trafficking, rights of the child",1,Slovenia,EEG,EU,Accepted,4,19,2014,1,1,,1,,1,40,41,"Take further measures to effectively combat trafficking in human beings, especially with regard to vulnerable groups such as women and children",1,8,,,999,1,999,999,999,999,,59
Albania,339,EEG,"EU, OIF",Women's rights,1,Rwanda,Africa,"AU, OIF, Commonwealth",Accepted,5,19,2014,1,,1,1,,,41,42,Increase the number of women in political and public life in both national and local government bodies and address gender stereotypes that perpetrate discrimination against women,1,4,,,999,1,999,999,999,999,,60
Albania,339,EEG,"EU, OIF",Women's rights,1,Sweden,WEOG,EU,Accepted,4,19,2014,1,,1,1,,,42,43,"That the Parliament, the Government and all political parties take concrete steps to create a more enabling environment for Albanian women to advance in political and public positions",1,8,,,999,333,1,999,999,999,,61
Albania,339,EEG,"EU, OIF","Women's rights, rights of the child, right to education ",1,Portugal,WEOG,"EU, OEI",Accepted,4,19,2014,1,,1,1,,,43,44,"Take measures to effectively address the high dropout rates from school, especially of girls in primary education",2,8,,,0,1,0,0,1,0,,62
Albania,339,EEG,"EU, OIF",Women's rights,1,Spain,WEOG,"EU, OEI",Accepted,2,19,2014,1,,1,1,,,45,45,"Continue strengthening measures which favour full gender equality, paying special attention to the integration of women into the labour market without discrimination, in line with the measures established in the 2013 European Union Progress Report",1,7,,,999,1,999,999,999,999,,63
